Código IES,Nome da IES - Instituição de Ensino Superior
1,UNIVERSIDADE FEDERAL DE MATO GROSSO
2,UNIVERSIDADE DE BRASILIA
3,UNIVERSIDADE FEDERAL DE SERGIPE
4,UNIVERSIDADE FEDERAL DO AMAZONAS
5,UNIVERSIDADE FEDERAL DO PIAUI
6,UNIVERSIDADE FEDERAL DE OURO PRETO
7,UNIVERSIDADE FEDERAL DE SAO CARLOS
8,UNIVERSIDADE FEDERAL DE VICOSA
9,UNIVERSIDADE ESTADUAL DE LONDRINA
10,PONTIFICIA UNIVERSIDADE CATOLICA DO PARANA
11,UNIVERSIDADE CATOLICA DE PERNAMBUCO
12,UNIVERSIDADE FEDERAL DO RIO GRANDE
13,UNIVERSIDADE DE CAXIAS DO SUL
14,UNIVERSIDADE DO VALE DO RIO DOS SINOS
15,UNIVERSIDADE CATOLICA DE PETROPOLIS
16,UNIVERSIDADE GAMA FILHO
17,UNIVERSIDADE FEDERAL DE UBERLANDIA
18,UNIVERSIDADE CATOLICA DE PELOTAS
19,PONTIFICIA UNIVERSIDADE CATOLICA DE CAMPINAS
20,UNIVERSIDADE DE PASSO FUNDO
21,PONTIFICIA UNIVERSIDADE CATOLICA DO RIO GRANDE
22,UNIVERSIDADE PRESBITERIANA MACKENZIE
23,UNIVERSIDADE FEEVALE
24,UNIVERSIDADE ESTADUAL DE SANTA CRUZ
26,ESCOLA NACIONAL DE CIENCIAS ESTATISTICAS
27,UNIVERSIDADE VALE DO RIO VERDE
29,UNIVERSIDADE ESTADUAL DO CEARA
30,UNIVERSIDADE JOSE DO ROSARIO VELLANO
31,CENTRO DE EDUCACAO TECNICA DA UTRAMIG
32,UNIVERSIDADE ESTADUAL DE CIENCIAS DA SAUDE DE
33,FACULDADE DE TECNOLOGIA DE SOROCABA
34,FACULDADE DE TECNOLOGIA DE SAO PAULO
35,FACULDADE DE TECNOLOGIA DE AMERICANA
36,FACULDADE DE TECNOLOGIA RUBENS LARA
37,FACULDADE DE TECNOLOGIA DE JAHU
38,UNIVERSIDADE DO ESTADO DO PARA
39,INSTITUTO DE TECNOLOGIA DA AMAZONIA
40,UNIVERSIDADE DO ESTADO DA BAHIA
41,FACULDADE ESTADUAL DE EDUCACAO FISICA DE JACAR
42,FACULDADE ESTADUAL DE DIREITO DO NORTE PIONEIR
43,FUNDACAO UNIVERSIDADE DO ESTADO DE SANTA CATAR
44,FACULDADE DE ENGENHARIA CIVIL DE ITAJUBA
45,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE IT
