Cód. Atual,Nome da Atividade
11002,Canto coral
11006,Banda
11011,Iniciação musical
12003,Desenho
12004,Escultura e Cerâmica
12005,Grafite
12007,Pintura
13001,Cineclube
14001,Teatro
14002,Danças
14004,Práticas Circenses
15001,Capoeira
15002,Artesanato 
15003,Brinquedos 
15004,Contos
16001,Educação Patrimonial
17002,Línguas Estrangeiras
17004,Leitura
19999,"Outra categoria de Cultura, Artes e Educação Patrimonial"
21001,Recreação
22007,Yoga/meditacao
22009,Tênis de campo
22011,Atletismo
22012,Badminton
22014,Basquete
22015,Ciclismo
22018,Futebol
22019,Futsal
22020,Ginástica
22021,Handebol
22022,Judô
22023,Karatê
22024,Luta Olímpica
22025,Natação
22026,Taekwondo
22027,Tênis de Mesa
22028,Voleibol
22029,Vôlei de Praia
22032,Xadrez tradicional/Xadrez virtual 
29999,Outra categoria de Esporte e Lazer
31001,Matemática
31002,Português
39999,Outra categoria de Acompanhamento Pedagógico
41007,Educação em Direitos Humanos
71007,Promoção da Saúde
10103,Iniciação Científica
13104,Conservação do solo e composteira: canteiros sustentáveis (horta) e/ou jardinagem escolar
13301,Educação Ambiental e Desenvolvimento Sustentável
14101,Fotografia
14102,História em Quadrinhos
14103,Jornal escolar
14104,Rádio escolar
14105,Vídeo
14201,Robótica Educacional
14202,Tecnologias Educacionais
14203,Ambientes de Redes Sociais
14999,"Outra Categoria de Comunicação, Uso de Mídias e Cultura Digital e Tecnológica"
15101,Memória e História das Comunidades Tradicionais
15201,Memória e História das Cultura Afro-Brasileira e Africana
15301,Memória e História das Culturas e Indígenas
17101,Educação para o Consumo Sustentável
17102,Economia Solidária e Criativa
17201,Educação Financeira
17202,Economia
17301,Controle social do gasto público
17302,Educação Tributária
11001,História da música e teoria musical
11003,"Ensino Coletivo de Cordas (Piano, Violão, Guitarra, Violino), Flauta Doce, Trompete etc."
11004,"Banda Fanfarra, Percussão"
11005,Hip Hop
11007,Iniciação Musical por Flauta Doce
11008,Iniciação Musical de Instrumentos de Cordas
11009,Música
11010,Percussão
12001,História da arte
12002,"Pintura, Grafite,  Desenho, Escultura, Colagem, Desenho gráfico, Mosaico etc"
12006,Mosaico
15005,Literatura de Cordel
15006,Etnojogos
17001,Leitura: Organização de Clubes de Leitura
17003,Leitura e Produção Textual
22001,Futebol e Futsal
22002,"Ginástica Olímpica, Localizada, Aeróbica e Rítmica, Tênis de mesa."
22003,"Voleibol, Basquetebol, Handebol,  Basquete de Rua, Natação. "
22005,"Artes Marciais (Taekwondo, Jiu Jitsu, Judô, karatê, etc)"
22006,Xadrez Tradicional e  Xadrez Virtual
22008,"Atletismo, corrida de orientação e ciclismo"
22013,Basquete de Rua
22016,Corrida de Orientação
22017,Esporte da Escola/Atletismo e múltiplas vivências esportivas
22030,Xadrez Tradicional
22031,Xadrez Virtual
31003,Letramento e alfabetização
31004,"Ciências (inclui laboratórios, feiras e projetos científicos) 13"
31005,História e Geografia
31006,Línguas estrangeiras 14
31007,Leitura e Produção Textual
31008,"Laboratórios de Ciências (física ótica, calorimetria, Célula animal, etc)"
31009,Filosofia e Sociologia
31010,Tecnologias de Apoio à alfabetização
31011,Etnolinguagem 15
31012,Ciências e Saúde
31013,Ciências Humanas
31014,Orientação de Estudos e Leitura (Escola urbana)
31015,Campos do conhecimento (Escola do Campo)
41001,Direitos de crianças e adolescentes
41002,Ética e Cidadania
41003,Enfrentamento do racismo
41004,Trabalho infantil
41005,Enfrentamento da violência na escola e na família
41006,Direitos Humanos e Ambiente Escolar
41008,Arte Audiovisual e Corporal
41009,Arte Corporal e Som
41010,Arte Corporal e jogos
41011,Arte Gráfica e Literatura
41012,Arte Gráfica e Mídias
49999,Outra categoria de Educação em Direitos Humanos
71001,Promoção da Alimentação Saudável
71002,Higiene
71003,Educação para Saúde Sexual e Saúde Reprodutiva e Prevenção das DST/AIDS
71004,"Prevenção ao uso de álcool, tabaco, crack e outras drogas"
71006,Promoção da Cultura de Paz e Prevenção das Violências
79999,Outra categoria de Promoção da Saúde
81001,Atividades de iniciação profissional
91001,Peti - Ministério do Desenvolvimento Social e Combate à Fome (MDS)
91002,Programa Segundo Tempo - Ministério dos Esportes (ME)
91003,Serviço de Convivência e Fortalecimento de Vínculos (SCFV) 8
91004,Programa Mais educação
99999,Outra Categoria de Programa Intersetorial (Programa apoiado por instituição ou fundação pública ou privada)
10101,"Laboratórios, Feiras e Projetos Científicos"
10999,Outra Categoria de Iniciação Científica
51001,Educação ambiental
51004,Reciclagem
13101,COM-VIDAS (organização de coletivos pró-meio ambiente) 9
13105,Uso Eficiente de Água e Energia
13106,Horta escolar e/ou Comunitária 10
13107,Jardinagem Escolar
13108,Economia Solidária e Criativa/Educação Econômica (Educação Financeira e Fiscal)
13999,"Outra categoria de Educação Ambiental, Desenvolvimento Sustentável e Economia Solidária e Criativa/Educação Econômica (Educação Financeira e Fiscal) 11"
61005,Mídias alternativas
61001,Software educacional/Linux Educacional; Informática e Tecnologia da Informação 
61007,Informática e tecnologia da Informação (Proinfo e/ou laboratório de informática)
15999,Outra categoria de Memória e História das Comunidades Tradicionais
16101,Canteiros Sustentáveis
16102,Cuidados com Animais
16103,COM-VIDAS (Comissão de Meio Ambiente e Qualidade de Vida)
16999,Outra Categoria de Agroecologia (Escolas do Campo)
