Cód. Atual,Língua de identificação
30,Boróro
244,Umutína
42,Guató
12,Apinayé
235,Kaingáng
150,"Suyá, Kisêdjê/ Kisedjê"
81,Gorotire (Kayapó)
82,Kararaô (Kayapó)
83,Kokraimoro (Kayapó)
84,Kubenkrngkegn (Kayapó)
85,Menkrangnoti (Kayapó)
86,"Mentuktíre, Txukahamae (Kayapó)"
87,Xikrin (Kayapó)
220,Kayapó
221,Mebengokré (Kayapó)
132,"Panará, Krenakarôre/ Kren-akarôre"
205,Kanéla Rankocamekra/ Canela Ramkokamekrã
223,Kreje/ Krenjé
224,Krikatí/ Krinkatí
240,Gavião Pukobiyé/ Gavião Pukobié
251,Canela
252,Kanéla Apaniekra/Canela Apaniekrã
253,Gavião Krikatêjê/ Gavião Krinkatejé
254,Gavião Parkatêjê/ Guató Parakatejé/ Gavião do Pará
255,"Krahô/ Crao, Kraô"
256,Krao Kanela
257,Kokuiregatêjê/ Kokuiregatejje
258,Timbira
259,Xacriabá/ Xakriabá
5,Xavánte/ Xavante
6,Xerénte
188,Xokléng
241,Tapayúna
260,Jê (não específico)
50,Javaé
63,Karajá
185,Xambioá
92,Krenák
107,Maxakalí
261,Pataxó
262,Pataxó Hã Hã Hãe/ Pataxó Há-Há-Há
129,Ofayé
142,Canoeiros/ Rikbaktsá
192,Fulni-ô/ Yathê
65,Karitiána
23,Awetí
51,Jurúna/ Yudjá
106,Mawé
200,Arara do Aripuana/ Arara do Aripuanã
236,Suruí de Rondônia
263,Salamãy
19,Aruá
31,Cinta Larga/ Cinta-Larga
36,"Gavião (Ikõro, Digüt), Gavião de Rondônia/ Ikolen"
111,"Mondé, Tupí-Mondé"
197,Zoró
96,Kuruáya
112,Mundurukú
141,Puruborá
66,Arara de Rondônia/ Káro
264,Ramaráma
265,Urucú/ Urucu
2,"Ajuru/ Wayoro, Ajurú"
198,Akuntsú
99,Makuráp
110,Sakurabiat/ Kampé
171,Tuparí
7,Amanayé
11,Apiaká
17,Araweté
4,Suruí do Pará/ Suruí do Tocantins/ Aikewara
20,Asuriní do Tocantins
237,Parakanã
21,Asuriní do Xingu
22,"Ava-Canoeiro/ Avá-Canoeiro, Avá, Canoeiro"
37,Guajá
38,Guaraní Kaiowá/ Guarani Kayová
39,Guaraní Mbyá
40,Guaraní Nhandéva
266,Guaraní
52,"Ka'apor/ Urubu, Ka’apór"
59,Kamayurá
76,Uru-Eu-Wau-Wau/ Uruewawau
199,Amondáwa
208,Diahói/ Diahui
215,Júma/ Juma
219,Karipúna
238,Parintintín
243,Tenharím/ Tenharim
268,Kawahíb
80,Kayabí
90,Kokáma
204,Kambéba
126,"Lingua Geral Amazônica, Nheengatu"
151,Tapirapé
155,Tembé
211,Guajajára
269,Turiwára
183,Wayampí/ Oyampi
186,Xetá
196,Zo'é
267,Lingua De Sinais Ka'apor/ Língua de Sinais Urubu-Kaapór
270,Tupí-Guaraní
187,Xipáya
250,"Tupí, Tupi Antigo"
283,Arawá
25,Banawá
32,Dení
284,"Himarimã/ Hi-merimã, Mirimã, Himarimá"
285,Jamamadí-Kanamanti/ Jamamadí
48,Jarawára
95,"Kulína Madijá/ Kulina, Kulína Madihá (Madija)"
136,Paumarí
148,"Zuruwahá, Suruahá (Zuruahá)"
13,Apurinã
60,Ashanínka/ Axanínka
26,"Baníwa/ Tapiira Tapuya, Kawa Tapuya"
226,Kuripáko
29,Baré
145,Enawenê-Nawê
271,Kaixána/ Kayuisiana
222,"Kinikináu, Kinikinawa"
272,Machinéri
273,Mawayána
109,Mehináku
131,Palikúr
133,Paresí
152,Tariána
156,Teréna
179,Wapixána
180,Warekéna
182,Wauja/ Waurá
193,Yawalapití
274,Aruák
307,Bóra
233,Miránha
207,Chiquitáno/ Chiquito
53,Kadiwéu
308,Guaikurú
18,Arikapú/ Jabutí
47,Djeoromitxí/ Jabotí/ Jabutí
10,Apalaí
201,"Arara do Pará, Arara do Xingu"
24,Bakairí
35,"Galibí do Oiapoque, Galibí (Ka’ríña)"
43,Hixkaryána
173,Ikpeng/ Ikpéng
45,Ingarikó
58,Kalapálo
94,Kuikúro
103,Matipú
116,Nahukwá
275,Naravúte
276,"Kaxuyána/ Kahyána, Warikyána"
277,Xikuyána/ Sikiyána
100,Makuxí
218,Kapon Patamóna/ Kapon Ptamóna
153,Taulipáng
167,Tiriyó/ Tarona
177,Wái Wái/ Waiwái
176,Waimirí-Atroarí
184,Wayána
108,"Yekuána, Mayongong, Makiritáre,"
278,Karib
67,Katawixí
61,Kanamarí
69,Katukína
174,Tsohom Djapa/ Tsohondjapá (Tsohom Djapa)
34,Dâw
286,"Hup, Húpda, Maku, Yuhupde, Yuhúp"
115,Nadëb
113,Múra
137,Pirahã
120,Negarotê/ Negarote
228,Lakondê
229,Latundê
230,Mamaindê
242,Tawandê
231,Mandúka/ Nambikwára do Campo
287,Alaketesú
288,Alantesú
289,Hahaintesú
290,Halotesú
291,Kithaulú
292,Sararé
300,Sawentesú
301,Waikisú
302,Wakalitesú
303,Wasusú
304,Nambikwára
143,Sabanê
15,"Arara do Acre, Shawãdawa"
68,Katukína do Acre
77,Kaxararí
78,Kaxinawá
91,Korúbo
279,Kulína Páno
102,Marúbo
104,Matís
105,Matsés
389,Maya
128,Nukiní
140,Poyanáwa
246,"Shanenáwa/ Xanenáwa, Xawanawa"
49,Yamináwa
194,Yawanawá
280,Pano
206,"Chamakóko/ Samúko, Chamacoco"
14,Arapáso
28,Bará
203,Barasána
33,Desána
64,Karapanã
178,Wanána/ Guanána
93,"Kubéo, Kubewa"
281,"Makúna, Yebá-masã"
282,"Siriáno/ Suriana, Suriána"
234,Tukáno / Miriti-Tapuia
172,Tuyúca / Tuyuca
138,Piratapúya
216,"Yurutí, Juriti"
225,Kujubím
305,"Miguelénho/ Migueleno, Miguelenho"
130,Oro Win
168,Torá
175,Urupá
245,"Pakaá Nóva/Migueleno, Miguelenho"
306,Txapakúra
309,Witóto
127,Ninám
146,Sanumá
190,Yanomám/ Yanonmán
191,Yanomámi
,
1,Aikaná/ Aikanã
46,Irántxe
62,Kanoé/ Kanoê
227,Kwazá
157,Tikúna
169,Trumái
114,"Mynky/ Mynký, Meky, Menky, Menki"
135,Galibí Marwórno/ Galibi Marworno
134,Karipúna do Amapá
310,Acona/ Akona
311,Aimoré
312,Anacé
