Cód. ,Nome do País ou Área
4,AFEGANISTÃO
8,ALBÂNIA
10,ANTÁRTIDA
12,ARGÉLIA
16,SAMOA AMERICANA
20,ANDORRA
24,ANGOLA
28,ANTÍGUA E BARBUDA
31,AZERBAIJÃO
32,ARGENTINA
36,AUSTRÁLIA
40,ÁUSTRIA
44,BAHAMAS
48,BAHREIN
50,BANGLADESH
51,ARMÊNIA
52,BARBADOS
56,BÉLGICA
60,BERMUDAS
64,BUTÃO
68,BOLÍVIA (ESTADO PLURINACIONAL DA)
70,BÓSNIA E HERZEGOVINA
72,BOTSUANA
74,ILHAS BOUVET
76,BRASIL
84,BELIZE
86,TERRITÓRIO BRITÂNICO DO OCEANO ÍNDICO
90,ILHAS SALOMÃO
92,ILHAS VIRGENS BRITÂNICAS
96,BRUNEI 
100,BULGÁRIA
104,MYANMAR
108,BURUNDI
112,BIELORRÚSSIA
116,CAMBOJA
120,CAMARÕES
124,CANADÁ
132,CABO VERDE
136,ILHAS CAIMAN
140,REPÚBLICA CENTRO AFRICANA
144,SRI LANKA
148,CHADE
152,CHILE
156,CHINA
158,REPUBLICA DA CHINA
162,ILHAS NATAL
166,ILHAS COCOS (KEELING)
170,COLÔMBIA
174,COMORES
175,MAYOTTE
178,CONGO
180,REPÚBLICA DEMOCRÁTICA DO CONGO
184,ILHAS COOK
188,COSTA RICA
191,CROÁCIA
192,CUBA
196,CHIPRE
203,REPÚBLICA TCHECA
204,BENIN
208,DINAMARCA
212,DOMINICA
214,REPÚBLICA DOMINICANA
218,EQUADOR
222,EL SALVADOR
226,GUINÉ EQUATORIAL
231,ETIÓPIA
232,ERITRÉIA
233,ESTÔNIA
234,ILHAS FEROE
238,ILHAS MALVINAS
239,ILHAS GEÓRGIA DO SUL E SANDWICH DO SUL
242,FIJI
246,FINLÂNDIA
248,"ÅLAND, ILHAS"
250,FRANÇA
254,GUIANA FRANCESA
258,POLINÉSIA FRANCESA
260,TERRAS AUSTRAIS E ANTÁRTICAS FRANCESAS
262,DJIBUTI
266,GABÃO
268,GEÓRGIA
270,GÂMBIA
275,PALESTINA
276,ALEMANHA
288,GANA
292,GIBRALTAR
296,QUIRIBATI
300,GRÉCIA
304,GROENLÂNDIA
308,GRANADA
312,GUADALUPE
316,GUAM
320,GUATEMALA
324,GUINÉ
328,GUIANA
332,HAITI
334,ILHA HEARD E ILHAS MCDONALD
336,VATICANO
339,APÁTRIDA1
340,HONDURAS
344,"CHINA, REGIÃO ADMINISTRATIVA ESPECIAL DE HONG KONG"
348,HUNGRIA
352,ISLÂNDIA
356,ÍNDIA
360,INDONÉSIA
364,IRÃ (REPÚBLICA ISLÂMICA DO)
368,IRAQUE
372,IRLANDA
376,ISRAEL
380,ITÁLIA
384,COSTA DO MARFIM
388,JAMAICA
392,JAPÃO
398,CAZAQUISTÃO
400,JORDÂNIA
404,QUÊNIA
408,COREIA DO NORTE
410,COREIA DO SUL
414,KUWAIT
417,QUIRGUISTÃO
418,"LAOS, REPÚBLICA POPULAR DEMOCRÁTICA"
422,LÍBANO
426,LESOTO
428,LETÔNIA
430,LIBÉRIA
434,LÍBIA
438,LIECHTENSTEIN
440,LITUÂNIA
442,LUXEMBURGO
446,"CHINA, REGIÃO ADMINISTRATIVA ESPECIAL DE MACAU"
450,MADAGÁSCAR
454,MALAWI
458,MALÁSIA
462,MALDIVAS
466,MALI 
470,MALTA
474,MARTINICA
478,MAURITÂNIA
480,MAURÍCIO
484,MÉXICO
492,MÔNACO
496,MONGÓLIA
498,MOLDÁVIA
499,MONTENEGRO
500,MONTSERRAT
504,MARROCOS
508,MOÇAMBIQUE
512,OMAN
516,NAMÍBIA
520,NAURU
524,NEPAL
528,HOLANDA
531,CURAÇAO
533,ARUBA
534,SINT MAARTEN (PARTE HOLANDESA) 
535,"BONAIRE, SAINT EUSTATIUS E SABA"
540,NOVA CALEDÔNIA
548,VANUATU
554,NOVA ZELÂNDIA
558,NICARÁGUA
562,NÍGER
566,NIGÉRIA
570,NIUE
574,ILHA NORFOLK
578,NORUEGA
580,ILHAS MARIANA
581,ILHAS MENORES DISTANTES DOS ESTADOS UNIDOS
583,MICRONESIA
584,ILHAS MARSHALL
585,PALAU
586,PAQUISTÃO
591,PANAMÁ
598,PAPUA NOVA GUINÉ
600,PARAGUAI
604,PERU
608,FILIPINAS
612,PITCAIRIN
616,POLÔNIA
620,PORTUGAL
624,GUINÉ BISSAU
626,TIMOR LESTE
630,PORTO RICO
634,CATAR
638,REUNIÃO
642,ROMÊNIA
643,RÚSSIA
646,RUANDA
652,SÃO BARTOLOMEU
654,SANTA HELENA
659,SÃO CRISTOVÃO E NEVIS
660,ANGUILLA
662,SANTA LÚCIA
663,SAINT-MARTIN (PARTE FRANCESA)
666,SAINT PIERRE E MIQUELON
670,SÃO VICENTE E GRANADINAS
674,SAN MARINO
678,SÃO TOMÉ E PRÍNCIPE
680,SARK
682,ARÁBIA SAUDITA
686,SENEGAL
688,SÉRVIA
690,SEYCHELLES
694,SERRA LEOA
702,CINGAPURA
703,ESLOVÁQUIA
704,VIETNÃ
705,ESLOVÊNIA
706,SOMÁLIA
710,ÁFRICA DO SUL
716,ZIMBÁBUE
724,ESPANHA
728,SUDÃO DO SUL
729,SUDÃO
732,SAARA OCIDENTAL
740,SURINAME
744,SVALBARD E JAN MAYER
748,SUAZILÂNDIA
752,SUÉCIA
756,SUÍÇA
760,SÍRIA
762,TAJIQUISTÃO
764,TAILÂNDIA
768,TOGO
772,TOKELAU
776,TONGA
780,TRINDADE E TOBAGO
784,EMIRADOS ÁRABES UNIDOS
788,TUNÍSIA
792,TURQUIA
795,TURQUEMENISTÃO
796,ILHAS TURKS E CAICOS
798,TUVALU
800,UGANDA
804,UCRÂNIA
807,REPÚBLICA DA MACEDÔNIA
818,EGITO
826,REINO UNIDO DA GRÃ BRETANHA E IRLANDA DO NORTE 
830,ILHAS DO CANAL
831,GUERNSEY
832,JERSEY
833,ILHAS DE MAN
834,TANZÂNIA
840,ESTADOS UNIDOS DA AMÉRICA
850,ILHAS VIRGENS AMERICANAS
854,BURQUINA FASO
858,URUGUAI
860,UZBEQUISTÃO
862,VENEZUELA
876,ILHAS WALLIS E FUTUNA
882,SAMOA
887,IÉMEN
894,ZÂMBIA
999,OUTRA NACIONALIDADE1
530,ANTILHAS HOLANDESAS
736,SUDÃO
890,IUGOSLÁVIA
200,TCHECOSLOVÁQUIA
810,UNIÃO SOVIÉTICA
582,ILHAS DO PACÍFICO
900,CORÉIA DO NORTE/CORÉIA DO SUL
