Código da Região,Nome da Região,Código da UF,Nome da UF,Sigla da UF,Código da Mesorregião,Nome da Mesorregião,Código da Microrregião,Nome da Microrregião,Código do Município,Nome do Município
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,6,Cacoal,1100015,Alta Floresta D'Oeste
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,3,Ariquemes,1100023,Ariquemes
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,8,Colorado do Oeste,1100031,Cabixi
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,6,Cacoal,1100049,Cacoal
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,8,Colorado do Oeste,1100056,Cerejeiras
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,8,Colorado do Oeste,1100064,Colorado do Oeste
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,8,Colorado do Oeste,1100072,Corumbiara
1,Norte,11,Rondônia,RO,1,Madeira-Guaporé,2,Guajará-Mirim,1100080,Costa Marques
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,6,Cacoal,1100098,Espigão D'Oeste
1,Norte,11,Rondônia,RO,1,Madeira-Guaporé,2,Guajará-Mirim,1100106,Guajará-Mirim
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,4,Ji-Paraná,1100114,Jaru
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,4,Ji-Paraná,1100122,Ji-Paraná
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,3,Ariquemes,1100130,Machadinho D'Oeste
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,5,Alvorada D'Oeste,1100148,Nova Brasilândia D'Oeste
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,4,Ji-Paraná,1100155,Ouro Preto do Oeste
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,7,Vilhena,1100189,Pimenta Bueno
1,Norte,11,Rondônia,RO,1,Madeira-Guaporé,1,Porto Velho,1100205,Porto Velho
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,4,Ji-Paraná,1100254,Presidente Médici
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,3,Ariquemes,1100262,Rio Crespo
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,6,Cacoal,1100288,Rolim de Moura
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,6,Cacoal,1100296,Santa Luzia D'Oeste
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,7,Vilhena,1100304,Vilhena
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,5,Alvorada D'Oeste,1100320,São Miguel do Guaporé
1,Norte,11,Rondônia,RO,1,Madeira-Guaporé,1,Porto Velho,1100338,Nova Mamoré
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,5,Alvorada D'Oeste,1100346,Alvorada D'Oeste
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,6,Cacoal,1100379,Alto Alegre dos Parecis
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,3,Ariquemes,1100403,Alto Paraíso
1,Norte,11,Rondônia,RO,1,Madeira-Guaporé,1,Porto Velho,1100452,Buritis
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,6,Cacoal,1100502,Novo Horizonte do Oeste
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,3,Ariquemes,1100601,Cacaulândia
1,Norte,11,Rondônia,RO,1,Madeira-Guaporé,1,Porto Velho,1100700,Campo Novo de Rondônia
1,Norte,11,Rondônia,RO,1,Madeira-Guaporé,1,Porto Velho,1100809,Candeias do Jamari
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,6,Cacoal,1100908,Castanheiras
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,7,Vilhena,1100924,Chupinguaia
1,Norte,11,Rondônia,RO,1,Madeira-Guaporé,1,Porto Velho,1100940,Cujubim
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,4,Ji-Paraná,1101005,Governador Jorge Teixeira
1,Norte,11,Rondônia,RO,1,Madeira-Guaporé,1,Porto Velho,1101104,Itapuã do Oeste
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,6,Cacoal,1101203,Ministro Andreazza
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,4,Ji-Paraná,1101302,Mirante da Serra
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,3,Ariquemes,1101401,Monte Negro
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,4,Ji-Paraná,1101435,Nova União
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,7,Vilhena,1101450,Parecis
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,8,Colorado do Oeste,1101468,Pimenteiras do Oeste
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,7,Vilhena,1101476,Primavera de Rondônia
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,7,Vilhena,1101484,São Felipe D'Oeste
1,Norte,11,Rondônia,RO,1,Madeira-Guaporé,2,Guajará-Mirim,1101492,São Francisco do Guaporé
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,5,Alvorada D'Oeste,1101500,Seringueiras
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,4,Ji-Paraná,1101559,Teixeirópolis
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,4,Ji-Paraná,1101609,Theobroma
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,4,Ji-Paraná,1101708,Urupá
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,3,Ariquemes,1101757,Vale do Anari
1,Norte,11,Rondônia,RO,2,Leste Rondoniense,4,Ji-Paraná,1101807,Vale do Paraíso
1,Norte,12,Acre,AC,2,Vale do Acre,4,Rio Branco,1200013,Acrelândia
